"","ID","Loss","NB","EXPOSURE","POWER","AGECAR","AGEDRIVER","BRAND","GAZ","REGION","DENSITY"
"1",33,302,1,0.75,"g","[0,1]","(42,74]","Japanese (except Nissan) or Korean","Regular","R11","(4.5e+03,Inf]"
"2",41,2001,1,0.14,"l","(4,15]","(42,74]","Japanese (except Nissan) or Korean","Diesel","R25","(40,200]"
"3",92,1449,1,0.14,"d","[0,1]","(26,42]","Japanese (except Nissan) or Korean","Regular","R11","(4.5e+03,Inf]"
"4",96,9924,2,0.62,"j","[0,1]","(42,74]","Japanese (except Nissan) or Korean","Regular","R11","(4.5e+03,Inf]"
"5",96,946,2,0.62,"j","[0,1]","(42,74]","Japanese (except Nissan) or Korean","Regular","R11","(4.5e+03,Inf]"
"6",142,1390,1,0.75,"e","[0,1]","(26,42]","Japanese (except Nissan) or Korean","Regular","R31","(500,4.5e+03]"
"7",182,1418,1,0.68,"d","(4,15]","(22,26]","Renault, Nissan or Citroen","Regular","R11","(500,4.5e+03]"
"8",377,747,1,0.5,"i","[0,1]","(26,42]","Japanese (except Nissan) or Korean","Regular","R11","(500,4.5e+03]"
"9",378,3332,1,0.73,"f","[0,1]","(42,74]","Japanese (except Nissan) or Korean","Regular","R11","(500,4.5e+03]"
"10",401,2956,1,0.65,"f","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R11","(4.5e+03,Inf]"
"11",436,471,1,0.1,"i","[0,1]","(74,Inf]","Japanese (except Nissan) or Korean","Regular","R72","(500,4.5e+03]"
"12",438,73,1,0.75,"j","(4,15]","(42,74]","Japanese (except Nissan) or Korean","Regular","R11","(4.5e+03,Inf]"
"13",467,1440,2,0.69,"i","[0,1]","(42,74]","Japanese (except Nissan) or Korean","Regular","R72","(200,500]"
"14",467,395,2,0.69,"i","[0,1]","(42,74]","Japanese (except Nissan) or Korean","Regular","R72","(200,500]"
"15",494,576,1,0.12,"e","[0,1]","(42,74]","Japanese (except Nissan) or Korean","Diesel","R52","[0,40]"
"16",500,3409,1,0.73,"e","[0,1]","(17,22]","Japanese (except Nissan) or Korean","Regular","R11","(500,4.5e+03]"
"17",520,594,1,0.72,"e","[0,1]","(42,74]","Japanese (except Nissan) or Korean","Regular","R11","(4.5e+03,Inf]"
"18",580,6518,1,0.15,"g","(1,4]","(42,74]","Japanese (except Nissan) or Korean","Regular","R11","(500,4.5e+03]"
"19",596,1274,1,0.01,"g","[0,1]","(42,74]","Japanese (except Nissan) or Korean","Diesel","R11","(4.5e+03,Inf]"
"20",615,936,1,0.7,"g","(4,15]","(26,42]","Japanese (except Nissan) or Korean","Regular","R11","(4.5e+03,Inf]"
"21",643,644,2,0.57,"l","(4,15]","(42,74]","Japanese (except Nissan) or Korean","Regular","R11","(500,4.5e+03]"
